GTEx_bladder	GTEx_prostate	GTEx_thyroid	TCGA_bladder	TCGA_prostate	TCGA_thyroid
ABCD4	12.824	13.2216	19.0432	417.5627	557.151	772.0864
ABCE1	12.8207	4.2892	8.8546	2107.5269	1088.9916	1065.0167
ABCF1	20.9518	21.7163	23.1463	3017.3238	1599.7404	1402.982
ABCF2	9.9855	10.9662	15.2911	1839.307	889.7542	825.2358
ABCF3	21.9487	33.4006	27.2956	1120.0717	995.5382	1026.4733
ABCG1	14.7427	4.1374	1.6484	1388.2915	368.6217	495.3849
ABCG2	2.7035	1.859	4.3282	256.2724	799.8702	71.8126
ABCG4	0.048	0.0537	0.6664	1.7921	4.8674	11.7659
ABCG5	0	0.0982	0.0111	0	1.6225	1.6229
ABCG8	0	0	0	0	0	0
ABHD1	0.2548	1.8262	0.4275	4.1816	23.3633	9.7373
ABHD10	8.8901	23.929	16.0133	208.4827	659.3656	870.6765
ABHD11	15.3452	172.7003	39.4025	1509.5579	744.0578	1062.5824
ABHD12	29.8399	25.4369	39.7184	2344.086	1183.4185	3154.4781
ABHD12B	0.0862	0	0.0046	6.5711	0.9735	0.8114
ABHD13	4.839	2.3538	4.9994	854.8387	604.2022	582.6149
ABHD14A	9.9257	15.3912	23.7598	302.8674	309.0452	816.7563
ABHD14B	44.8408	38.5662	48.1396	1602.1505	1747.0593	2401.0549
ABHD15	8.0939	6.633	5.8452	405.6153	342.338	490.5163
ABHD2	17.7523	11.2038	5.8978	10221.6249	10479.1109	1791.6624
ABHD3	13.3424	5.1679	6.4997	296.2963	297.2337	987.1184
ABHD4	25.5835	21.3362	25.4173	604.54	1069.8467	895.0198
ABHD5	9.9006	2.5271	4.9536	2369.773	565.9122	658.4846
ABHD6	3.4918	1.969	3.383	185.7826	256.3479	279.9473
ABHD8	5.2309	7.9096	10.6575	96.1768	316.3787	454.4071
ABI1	23.8822	6.0028	7.6614	2502.3895	1488.7645	1477.0464
ABI2	9.7821	7.7497	16.0258	1157.7061	1857.3862	1530.3783
ABI3	5.9035	3.6275	5.8386	160.0956	245.9641	411.8065
ABI3BP	5.7898	0.5438	0.9975	1339.9044	966.6586	2193.3259
ABL1	30.6735	19.7714	33.0106	4257.4671	2974.6086	2482.199
ABL2	2.3169	1.8407	2.6942	1431.8996	748.6006	512.4252
ABLIM1	30.7971	11.1467	43.8917	13616.4875	2935.3452	6322.3451
ABLIM2	0.8646	0.5998	4.1232	36.4397	59.0574	330.6623
ABLIM3	9.0715	3.2434	0.8814	752.0908	641.8431	218.2777
ABO	12.3934	1.529	4.2253	82.4373	204.4293	265.3413
ABR	28.3891	15.5302	8.2029	3056.1529	3119.3315	1619.6369
ABRA	0	0.1547	0.0448	2.3895	4.2184	0.8114
ABT1	14.4328	9.9738	10.8392	938.4707	569.8061	667.0048
ABTB1	26.9652	16.5719	11.442	523.8949	523.0794	683.2336
ABTB2	2.7896	6.9431	1.0476	242.5329	341.3645	152.9567
ACAA1	39.5136	58.7517	30.7547	2176.822	1463.1297	1480.069
ACAA2	8.5542	5.4123	35.2431	292.7121	538.006	1161.984
ACACA	7.8136	17.0969	4.8868	1296.8937	3674.8601	591.135
ACACB	6.8018	6.5614	16.1272	567.503	1289.5271	1004.5644
ACAD10	7.8267	9.333	8.6003	432.497	513.9937	662.9476
ACAD11	0	0	0	313.6201	368.6217	578.9228
ACAD8	10.8846	15.8387	47.2616	242.5329	977.3668	1189.1673
ACAD9	10.6767	15.6812	12.8391	913.3811	746.6472	787.0981
ACADL	1.5057	27.4745	45.9531	11.3501	266.0826	493.762
ACADM	21.5226	11.6009	12.423	1221.6249	959.5198	1205.3961
ACADS	13.7261	12.6065	22.6116	314.8148	401.0708	852.8248
ACADSB	10.7063	13.0325	5.587	844.086	1838.2413	772.4921
ACADVL	162.436	317.2205	331.117	13340.4958	4369.5465	5203.3553
ACAN	0.0219	0.0207	0.086	37.6344	43.4818	5.6801
ACAP1	7.3315	2.6916	1.3071	203.1063	138.8821	1212.2933
ACAP2	7.6985	4.2083	7.3422	865.5914	1596.82	1333.1981
ACAP3	29.6039	33.9182	21.2884	1528.6738	577.9703	523.4851
ACAT1	6.8088	6.6779	10.5833	430.7049	880.0195	1086.5199
ACAT2	8.1144	12.1634	4.1321	340.1075	715.5415	321.9921
ACBD3	16.5953	10.7336	15.5676	1916.368	1749.9797	1324.678
ACBD4	11.0653	17.3903	12.4752	186.9773	348.1788	588.7007
ACBD5	13.2367	7.3681	12.3437	454.5998	903.0583	994.0156
ACBD6	10.6377	6.8244	9.3785	304.0621	327.7359	406.1264
ACBD7	0.118	0	0.2337	28.6738	13.9531	43.4121
ACCS	10.994	18.9989	14.9308	330.9438	337.1461	453.5957
ACCSL	0	0	0	0	0	0
ACD	11.7721	15.7595	8.1765	367.9809	359.2115	496.1964
ACE	2.1865	2.1634	1.1579	412.1864	1000.7301	584.6435
ACE2	0.8402	0.1861	1.6574	31.0633	47.0512	23.5318
ACER1	0.0204	1.2362	0.057	0.5974	9.0857	1.6229
ACER2	44.2828	1.6825	2.273	4732.3775	273.5459	36.1091
ACER3	4.228	3.934	2.8433	256.8698	499.0671	190.283
ACHE	0.5212	5.5671	0.3864	58.5424	176.1986	183.7915
ACIN1	48.6641	44.0745	53.0277	4274.7909	2993.4291	3599.148
ACLY	20.1296	30.6373	25.8944	1994.0263	4321.246	2130.8449
ACMSD	0.0206	0.0142	0.1298	4.1816	0	0
ACN9	4.1565	5.024	2.6287	87.8136	157.0536	217.872
ACO1	14.4363	8.9684	15.5597	1016.7264	1287.9046	1207.8304
ACO2	29.9903	18.4792	30.5084	4393.4229	2458.0969	2774.4842
ACOT1	3.2841	1.3746	0.2044	167.8614	346.5563	545.2886
ACOT11	3.3638	1.3416	1.8294	653.0645	264.8398	276.9246
ACOT12	0	0.0187	0.019	0	0	0.8114
ACOT13	11.7888	14.0568	5.6255	315.5317	572.1132	551.8572
ACOT2	8.0294	3.2386	7.9246	140.3823	284.2541	547.7229
ACOT4	0.7482	0.4469	0.3138	30.4659	56.1369	52.338
ACOT6	0	0.2059	0.1393	0	1.298	3.6515
ACOT7	3.2261	3.1815	1.9299	235.3644	274.5193	352.1655
ACOT8	10.7691	16.5745	10.3225	217.9928	256.6918	361.8988
ACOT9	6.4493	6.8782	9.5613	581.2425	477.0017	479.9675
ACOX1	13.7655	13.1661	9.4377	4518.5185	1907.3578	1021.3166
ACOX2	2.0897	9.5461	22.5424	76.4636	242.0703	593.975
ACOX3	7.7819	14.5487	5.3098	553.7634	589.9246	301.0447
ACOXL	2.1576	4.0442	1.0176	324.9701	49.9716	26.7776
ACP1	22.9107	27.7576	23.5277	1098.5663	1143.8306	1468.7088
ACP2	15.6324	21.8229	15.3232	390.681	927.0707	708.3883
ACP5	6.118	10.8788	0.8163	326.1649	492.9018	645.5016
ACP6	12.9252	13.0435	17.3488	382.9152	314.7562	204.4832
ACPL2	3.1139	2.7934	2.2066	204.8984	644.439	281.1644
ACPP	6.1506	1531.1801	0.9628	58.5424	94632.9196	37.732
ACPT	0	0.0452	0.0306	0	0	0.4057
ACR	0.3161	0.2058	0.2701	1.7921	6.8143	6.0858
ACRBP	1.712	1.1885	7.5832	7.7658	22.0654	133.4821
ACRC	1.3014	1.5584	1.7003	27.4791	12.6551	45.4407
ACRV1	0	0.0092	0	0	0.9735	0.8114
ACSBG1	0.3649	0.2627	0.0113	103.3453	15.9001	25.1547
ACSBG2	0.044	0.0546	0.0246	0	0.3245	1.2172
ACSF2	37.9101	20.9698	39.5075	2277.1804	519.8345	1841.5661
ACSF3	5.5021	5.9307	5.4042	348.865	382.8993	450.7557
ACSL1	18.4069	48.2885	26.0241	2131.4217	3876.6934	1753.119
ACSL3	17.6372	34.5246	12.3105	3043.6081	3556.7454	1400.5477
ACSL4	10.1831	3.4482	4.8573	1505.3763	1729.2123	1236.6366
ACSL5	71.4506	5.7398	4.5685	7021.5054	2308.4287	787.0981
ACSL6	0.0758	0.0283	0.0309	2.3895	51.2696	32.4577
ACSM1	1.3622	6.3433	0.3518	103.9427	276.7908	6.8973
ACSM2A	0.0655	0.0181	0	0	0.3245	4.8686
ACSM2B	0.0128	0	0	0	0	2.0286
ACSM3	3.8849	4.0972	0.4321	280.7348	1002.5927	37.0869
ACSM4	0.0275	0	0	0	0	0
ACSM5	0.2706	0.1093	1.194	4.779	14.9266	108.3274
ACSS1	7.5238	15.1596	9.8635	512.5448	1471.5665	1704.8382
ACSS2	12.9535	11.2723	9.3338	464.1577	827.1274	545.6943
ACSS3	2.9141	2.1532	4.3567	102.1505	274.1949	441.4241
ACTA1	0.1379	4.9966	3.471	4.779	44.7798	4.0572
ACTA2	259.5555	77.9859	56.2577	13335.4719	35880.6847	1484.1708
ACTB	656.7856	524.0557	512.1705	143148.1481	75844.8933	123084.3047
ACTBL2	0.0211	0	0.0885	0	4.8674	2.0286
ACTC1	0.2218	1.1081	0.2762	595.5795	615.2349	3.6515
ACTG1	553.0334	519.2628	459.2328	186367.9809	42998.9454	86548.3396
ACTG2	87.2086	49.8711	1.2966	7901.4337	23983.7755	26.7776
ACTL6A	16.3842	7.2379	10.7471	606.9295	673.3187	625.6213
ACTL6B	0.0383	0	0	0	0.649	0
ACTL7A	0.0411	0	0	0	0	0
ACTL7B	0.0746	0.0685	0	0.5974	0.649	0
ACTL8	0	0	0	0	0	0
ACTL9	0.0414	0	0	0	0	0
ACTN1	31.8927	25.4398	8.0214	4798.0884	9068.8732	1823.3087
ACTN2	0.0598	0.1873	0.2356	2.3895	8.4368	2.84
ACTN3	0.0335	0.1039	0.0234	1.1947	0.649	0.8114
ACTN4	85.3013	46.1053	63.1954	20733.417	10170.3123	7333.5916
ACTR10	24.6314	16.7033	26.8709	798.6858	888.1317	1116.5433
ACTR1A	25.9388	34.2939	28.4424	2491.6368	2231.8488	1889.0354
ACTR1B	42.6797	51.3541	51.3232	1128.4349	1578.6485	1902.8299
ACTR2	38.1141	23.6991	26.7289	6310.0358	4944.5932	5262.6027
ACTR3	18.6736	11.5444	12.9218	4926.5233	3144.3174	4438.584
ACTR3B	4.3271	4.8021	2.8882	118.2796	120.0617	100.213
ACTR3C	1.1645	0.8164	0.7932	46.595	44.1308	41.3835
ACTR5	6.6915	8.0886	4.8072	139.1876	152.5107	206.5118
ACTR6	10.6273	5.6828	7.726	444.4444	471.8098	497.0078
ACTR8	7.4814	3.6153	5.3079	345.8781	507.8283	363.12
ACTRT1	0	0	0	0	0	0
ACTRT2	0.0415	0	0	0	0	0
ACVR1	10.2658	3.8276	14.0962	690.5615	828.1009	1478.8518
ACVR1B	19.4941	9.1219	6.3368	859.0203	1802.8717	704.7368
ACVR1C	0.1807	0.0792	0.0919	4.779	27.9062	34.892
ACVR2A	8.9287	4.3483	3.7127	376.9415	471.4854	327.4166
ACVR2B	1.1031	0.5322	0.3953	49.5818	340.7155	209.3519
ACVRL1	7.7552	3.0596	9.2111	430.7049	942.9707	552.9973
ACY1	5.2094	2.6236	5.8834	710.2748	519.3802	496.9672
ACY3	0.2945	1.1867	0	1.1947	19.145	53.5551
ACYP1	4.7178	5.1297	6.807	41.816	47.0512	156.6082
ACYP2	2.2156	2.8092	2.4085	216.2485	133.6903	140.3793
ADA	1.4437	1.089	1.8676	48.9845	53.2165	227.6093
ADAD1	0.0241	0	0	0	0	0
ADAD2	2.3233	0.9997	0.0344	9.08	6.7364	0.8114
ADAL	1.3872	2.0946	4.6421	78.853	140.8291	240.9981
ADAM10	27.9891	10.9785	14.5766	2559.1398	2906.79	1613.1453
ADAM11	0.4346	1.0996	0.6294	20.3106	25.3103	5.6801
ADAM12	0.5855	0.1235	0.1274	292.1147	46.4022	103.8645
ADAM15	25.6603	45.334	24.2506	1664.8746	2535.303	1213.2022
ADAM17	5.6925	1.1917	4.1971	870.9677	491.9283	436.9612
ADAM18	0	0	0	0	0	0
ADAM19	2.786	1.3266	0.272	259.2593	280.0357	944.112
ADAM2	0	0.0629	0	0	0.9735	0
ADAM20	0.1475	0.0581	0.2284	0	1.9469	3.2458
ADAM21	0.1106	0.0152	0.201	0.5974	2.5959	3.6515
ADAM21P1	0.0255	0	0	0	0.9735	2.4343
ADAM22	2.3313	1.2063	1.2203	34.0502	380.3034	64.1039
ADAM23	0.5691	0.7116	0.0321	34.0502	41.5348	9.3316
ADAM28	6.6153	1.3559	0.1729	351.2545	231.3621	316.0564
ADAM29	0.01	0	0	0	0.3245	0.8114
ADAM30	0	0	0	0	0	0
ADAM32	0.1482	0.1085	0.2137	3.5842	13.3041	0.8114
ADAM33	35.0804	22.6503	1.2846	903.2258	547.5071	106.2988
ADAM3A	0	0	0	0	0	0
ADAM6	0	0	0	922.7419	14724.7213	250425.248
ADAM7	0	0.0091	0	0	140.8291	0
ADAM8	8.8402	3.5515	2.9095	1554.3608	348.8278	439.3955
ADAM9	21.1246	7.8803	12.1329	3570.4898	3282.5505	1486.9662
ADAMDEC1	2.2591	0.0333	0.0169	23.8949	41.2104	279.5415
ADAMTS1	81.4563	76.4109	34.0962	25992.2342	7701.1438	1255.7054
ADAMTS10	7.5251	4.3121	5.546	99.7611	206.3762	197.586
ADAMTS12	0.2018	0.0602	0.278	4.779	22.3899	16.2288
ADAMTS13	3.3203	5.1361	3.9954	256.8698	91.182	105.4874
ADAMTS14	0.3745	0.0925	0.0547	54.9582	15.9001	25.1547
ADAMTS15	3.3563	0.931	5.5284	56.7503	25.9593	66.1325
ADAMTS16	0.0658	0.0174	0.0743	11.3501	2.9204	2.84
ADAMTS17	0.3668	0.815	0.2865	25.0896	28.8797	33.2691
ADAMTS18	0	0.062	0	7.1685	2.2714	5.2744
ADAMTS19	0.5228	0.0075	0	65.7109	4.2184	0
ADAMTS2	6.4975	0.8272	1.3374	185.1852	164.1924	40.5721
ADAMTS20	0.0082	0	0.0172	0	0	0.4057
ADAMTS3	0.2236	0.5764	0.9413	19.1159	94.1024	73.0297
ADAMTS4	2.5397	0.3691	19.9986	10090.8005	417.2954	392.3319
ADAMTS5	1.9449	0.2891	2.4898	262.8435	457.8567	273.05
ADAMTS6	0.5883	0.1542	0.1615	36.4397	19.7939	17.0403
ADAMTS7	1.749	0.9169	0.8027	222.2222	68.7921	77.4926
ADAMTS8	0.5949	1.2098	0.1592	412.1864	191.1252	6.0858
ADAMTS9	2.6105	1.9245	10.6138	1293.9068	443.5791	97.373
ADAMTSL1	0.6457	13.5318	0.0771	183.3931	827.4519	38.9492
ADAMTSL2	1.6185	3.3115	11.7863	347.6703	217.7334	334.3138
ADAMTSL3	3.3669	2.2733	1.0034	222.2222	1000.4056	254.7926
ADAMTSL4	20.4781	2.5754	2.5556	1054.3608	280.3602	160.2597
ADAMTSL5	3.2623	2.4458	0.0707	304.6595	105.7841	17.0403
ADAP1	0.343	0.1261	0.4317	298.417	225.9074	404.4792
ADAP2	2.1451	0.9695	3.125	56.7503	174.2516	237.3466
ADAR	40.6794	37.5221	88.6486	4241.9355	7241.6646	5568.5161
ADARB1	3.5232	11.7515	2.0438	445.0418	747.9517	484.4305
ADARB2	0.1757	0.0285	0.0036	4.1816	8.1123	5.2744
ADAT1	4.5171	4.2489	4.2873	166.6667	300.8031	197.1802
ADAT2	3.0705	4.1559	5.5476	121.2664	76.2554	236.9409
ADC	1.0238	1.0429	2.3829	71.0872	105.7841	227.2036
ADCK1	4.1064	8.7242	7.0585	103.3453	159.6495	180.5457
ADCK2	17.3016	15.1783	13.0211	459.3787	687.9208	705.954
ADCK4	16.1198	20.0894	18.8817	688.172	626.9165	723.3999
ADCK5	7.3395	9.7381	5.5985	167.8614	101.8902	160.6654
ADCY1	0.2004	0.5241	0.6606	37.6344	206.7007	180.5457
ADCY10	0.0288	0.2645	0.0671	0	0.649	0
ADCY2	3.2291	6.1017	0.0045	175.0299	440.0097	4.8686
ADCY3	11.8195	4.0023	9.0191	857.7897	1565.0393	465.8931
ADCY4	10.5498	8.3143	7.7169	178.6141	273.5459	276.7015
ADCY5	7.5204	4.0573	1.0711	327.957	1114.3019	23.1261
ADCY6	16.0414	22.8668	16.3989	1118.8769	1704.8755	1045.5421
ADCY7	1.9178	0.2643	0.2939	179.8088	504.2589	999.6957
ADCY8	0	0.1328	0.0069	0	16.549	0
ADCY9	4.0679	1.6756	17.3958	566.3082	865.0929	1605.0309
ADCYAP1	4.9146	0.082	0	486.8578	8.7613	0.8114
ADCYAP1R1	0.1423	0.6005	0.1659	0	52.5675	1.6229
ADD1	62.2529	57.3138	54.0258	6230.5854	7244.2606	4930.3175
ADD2	0.1881	0.167	0.0045	11.9474	83.0697	49.0922
ADD3	33.3754	8.7326	19.4994	2221.6249	3366.9181	4448.3213
ADH1A	1.3467	0.6871	0.1467	7.1685	2.5959	3.2458
ADH1B	45.792	0.7406	4.7509	1956.9892	224.2232	260.0669
ADH1C	4.4022	1.3314	0.2878	9.5579	103.8371	2.84
ADH4	0.2554	0.0168	0.051	2.9869	0.649	0.4057
ADH5	51.5434	26.8214	23.8131	1816.0096	3669.3437	2942.2862
ADH6	0.6559	0.3229	0.0608	4.779	7.7878	0.4057
ADH7	0.2687	0	0	0	1.6225	0
ADHFE1	14.2666	20.0198	10.9427	161.8877	207.3497	271.4271
ADI1	12.4168	13.8779	6.2291	1826.7622	3028.1496	1579.8763
ADIG	0	0	0.9768	0	0.3245	6.8973
ADIPOQ	0.0377	0	0.0264	54.9582	0.3245	7.303
ADIPOR1	59.1708	37.5116	31.7934	4204.8984	2164.0302	2032.6605
ADIPOR2	13.5191	14.7284	17.4985	1305.8542	1591.6281	2102.4445
ADK	10.6706	5.1601	12.9375	291.5173	289.7704	326.1994
ADM	27.9688	3.652	9.4777	3576.4636	323.5175	124.1505
ADM2	0.2066	2.1837	7.8351	2.9869	228.1171	625.2155
ADNP	24.424	17.5325	17.3066	2032.8554	2664.3952	2149.1023
ADNP2	6.4125	4.7224	5.6013	1126.6428	716.476	601.6837
ADO	5.2372	4.9452	4.5465	529.2712	640.8696	580.1805
ADORA1	0.3373	0.0194	1.361	2.9869	22.7144	130.2363
ADORA2A	0.1791	0.1234	0.0911	63.9188	80.1493	428.0353
ADORA2B	6.7055	0.7488	0.0237	945.0418	117.1412	6.4915
ADORA3	2.4555	0.1538	0.4407	26.8817	47.3757	61.2638
ADPGK	21.2651	48.5658	18.0889	970.0299	1013.4696	1222.5053
ADPRH	2.2593	2.5247	5.3409	202.509	413.4015	404.9092
ADPRHL1	1.3399	1.3192	0.339	44.8029	65.8717	9.3316
ADPRHL2	16.3335	22.5012	19.8758	812.4253	519.1855	940.0548
ADRA1A	0.005	0.1562	0	2.3895	122.9821	1.2172
ADRA1B	0.0339	0	3.4715	2.3895	41.2104	10.5487
ADRA1D	2.2445	0.5232	0.3154	83.632	154.1332	2.4343
ADRA2A	4.4762	2.0461	0.3938	190.5615	215.7865	410.995
ADRA2B	2.0127	0.8979	0.9611	89.0084	18.496	7.303
ADRA2C	3.2741	14.816	0.4162	69.2951	279.3867	17.0403
ADRB1	1.7289	3.3547	0.0144	31.0633	245.3152	14.2002
ADRB2	2.2512	6.5441	0.1614	222.8196	254.7254	77.4926
ADRB3	1.7414	0.0276	0.014	4.779	5.1919	2.0286
ADRBK1	54.3838	82.1932	25.9435	2909.7969	2857.7918	3187.3415
ADRBK2	4.9212	11.6565	3.6521	418.7575	1175.6307	630.4899
ADRM1	29.1717	28.731	25.3182	2726.4038	1187.3124	1414.3422
ADSL	16.1506	15.0649	13.4279	525.687	686.6229	832.1331
ADSS	21.6361	9.7617	14.1155	1488.0526	1227.8738	1379.856
ADSSL1	9.4219	5.9915	5.569	498.8053	151.8618	187.4429
AEBP1	55.7563	23.9568	19.4739	6259.2593	10426.2189	1229.3336
AEBP2	10.3647	4.9131	7.7652	1247.3118	1062.3834	908.0028
AEN	3.8399	8.5006	17.9618	1658.9008	491.9283	513.6424
AES	232.9578	285.8648	221.4736	12563.9188	9469.944	12115.6304
AFAP1	4.1382	2.5545	5.1898	731.7802	1298.5901	895.0076
AFAP1L1	3.8393	1.8488	3.1567	128.4349	186.9068	208.9461
AFAP1L2	7.5862	15.0601	49.5478	659.4982	1011.4383	5329.5466
AFF1	21.881	10.1973	85.5198	1827.957	3506.1248	4479.1561
AFF2	0.122	0.1362	0.5484	23.8949	80.7982	100.213
AFF3	3.6438	2.2025	0.0124	329.7491	1276.2229	266.1528
AFF4	17.3691	12.661	21.7837	5513.1422	4411.779	2320.7222
AFG3L2	27.5249	9.8968	21.8592	1782.037	1272.4588	1440.3083
AFM	0	0.02	0	0	0	0
AFMID	10.7889	16.1432	5.797	498.2079	501.9875	197.1802
AFP	0.0202	0	0	0	0	0
AFTPH	20.2752	23.8848	10.4416	1694.1458	1905.4109	1430.9768
AGA	8.1916	5.1541	8.5612	316.6069	380.9524	609.7982
AGAP1	2.2124	2.356	2.2219	252.0908	474.4058	212.1919
AGAP2	1.4836	0.6507	1.2023	64.9881	74.9769	426.7694
AGAP3	20.6015	25.628	9.1461	1863.2019	1448.8521	1338.4725
AGAP4	2.0049	1.9148	2.3338	261.6487	142.127	321.3308
AGAP5	1.967	4.6091	2.5767	28.5544	54.8649	68.3518
AGAP6	7.3633	16.9521	22.9912	195.3405	49.9716	139.9736
AGAP7	0.852	3.5145	0.6637	14.9343	34.7205	11.7659
AGAP8	0.6876	2.3847	1.0764	20.908	44.4553	35.7034
AGBL1	0.025	1.7336	0	0	12.6551	0
AGBL2	2.651	1.1802	0.9629	17.9211	22.0654	29.6176
AGBL3	0.2745	0.3413	0.2294	0	7.7878	8.9259
AGBL4	0.0156	0.0215	0.0328	0	2.2714	10.5487
AGBL5	10.1691	8.942	9.0089	465.9498	854.0634	868.6845
AGER	9.3455	22.8711	53.2797	78.853	28.5552	317.2736
AGFG1	10.8623	4.7654	10.0695	2014.3369	1413.1581	1329.5466
AGFG2	14.7419	11.9034	6.7477	336.9176	863.4704	593.1636
AGGF1	8.0412	5.3007	7.7826	283.1541	870.9337	776.5493
AGK	8.2353	10.0162	9.4916	352.4492	452.9894	546.5057
AGL	8.1264	7.0735	7.4662	824.9701	1605.2568	674.7135
AGMAT	0.6952	0.4959	0.2729	22.1027	14.6021	81.5499
AGPAT1	5.5718	3.8631	5.6789	1432.1864	1731.0002	1814.6181
AGPAT2	31.4208	30.2599	43.6895	2063.9188	637.9492	1417.588
AGPAT3	11.1424	12.2101	15.2989	1811.828	1853.4923	2069.1754
AGPAT4	1.8481	0.8513	0.7652	279.5699	199.8864	254.7926
AGPAT5	4.1717	3.5168	4.6014	352.4492	800.8437	416.2694
AGPAT6	14.0433	15.4535	17.1041	1701.3142	1377.7886	1465.8687
AGPAT9	1.9331	0.6169	20.1791	1223.417	100.5922	906.38
AGPS	4.4472	1.5311	4.5337	616.4875	816.4192	705.1425
AGR2	216.5475	189.6307	4.5537	11292.7121	4174.5761	40.5721
AGR3	31.7845	5.3041	0	470.1314	97.3473	93.7215
AGRN	42.8456	25.3669	84.4677	6461.7682	4962.1157	3626.3313
AGRP	0.0771	0.5314	0.027	0	0.3245	0.4057
AGT	0.7328	2.4543	8.1702	173.8351	178.7945	150.5224
