GENE	GTEx_bladder	GTEx_prostate	GTEx_thyroid
112	ATAD3C	2.7324	4.0134	4.6797
113	ATAD3B	15.1626	32.1531	17.623
114	ATAD3A	8.7121	16.8273	12.4753
115	TMEM240	1.8408	3.1312	2.574
116	SSU72	27.3382	37.6435	43.3104
117	AL645728.2	8.3032	22.321	13.1417
118	AL645728.1	0.0289	0.9163	0.9094
119	AL645728.3	0	0	0
120	C1orf233	2.0342	0.6425	8.217
121	RP11-345P4.9	6.2867	8.8445	12.9533
122	MIB2	15.0343	23.9287	25.7941
123	MMP23B	0.9267	0.7958	0.1495
124	CDK11B	15.3945	17.8279	13.4412
125	RP11-345P4.10	17.5984	20.0956	24.5043
126	SLC35E2B	19.8584	19.9915	21.8413
127	RP11-345P4.6	1.9289	1.176	1.8673
128	MMP23A	0.1048	0.3251	0.0733
129	CDK11A	18.3438	23.9641	21.5635
130	RP1-283E3.8	19.8248	27.3726	23.783
131	RP1-283E3.4	4.6013	3.5582	4.8627
132	SLC35E2	4.1286	2.894	4.3996
133	NADK	26.9237	28.1417	26.3095
134	GNB1	72.054	67.9448	56.0055
135	RP1-140A9.1	0.13	3.047	0.3409
136	CALML6	0.4492	4.5698	1.0169
137	TMEM52	0.2358	0.5146	0.1648
138	C1orf222	0.0216	0.0298	0.0906
139	RP11-547D24.1	0	0.0519	0.2213
140	GABRD	0.0616	0.191	2.0452
141	RP11-547D24.3	0.1095	0.415	0.2679
142	PRKCZ	4.239	4.1569	14.0826
143	RP5-892K4.1	0.5335	0.4838	2.2231
144	RP11-181G12.2	3.2789	5.403	15.0155
145	C1orf86	4.3914	10.4953	7.2759
146	AL590822.2	4.2293	6.613	5.0764
147	RP11-181G12.4	0.1444	0.995	0.4038
148	SKI	18.6838	14.751	17.1283
149	MORN1	1.2138	2.5512	4.6932
150	RP4-713A8.1	0.0597	1.1529	0.7101
151	AL589739.1	0.1275	0.3515	2.0057
152	RP4-740C4.7	0.2074	1.9298	1.3051
153	RP4-740C4.9	0.1764	1.9853	0.1233
154	RP4-740C4.8	0.3167	0.6002	0.3598
155	AL513477.1	0.5588	1.586	2.0724
156	RER1	22.2552	22.4886	18.3224
157	PEX10	5.9427	17.2796	3.7907
158	PLCH2	46.7869	49.8783	0.5216
159	RP3-395M20.2	5.6317	3.1229	0
160	RP3-395M20.3	5.7302	3.3568	0.0801
161	PANK4	10.0342	7.2408	7.6497
162	HES5	2.0974	0.9015	0.2207
163	RP3-395M20.12	2.07	4.1779	0.6616
164	RP3-395M20.8	12.4398	8.6989	4.5096
165	TNFRSF14	59.0477	73.5839	38.4963
166	RP3-395M20.7	0.3541	0.2712	0.0413
167	RP3-395M20.9	0.7528	1.297	0.3289
168	FAM213B	7.2145	2.7149	1.4091
169	MMEL1	1.3704	0.7361	0.2395
170	RP13-436F16.1	0.8686	0.3809	0.9385
171	TTC34	0.4923	0.2582	0.6136
172	RP11-740P5.2	0	0	0
173	RP11-740P5.3	0	0	0
174	ACTRT2	0.0415	0	0
175	LINC00982	1.2706	1.0158	25.9041
176	PRDM16	0.3488	0.4196	7.7064
177	RP1-163G9.2	0.0628	0	0.0439
178	RP11-22L13.1	0.017	0	0.2915
179	ARHGEF16	20.4929	22.2063	11.9385
180	RP11-168F9.2	0.4626	1.169	0.3234
181	MEGF6	13.5339	43.9019	1.1333
182	MIR551A	0	0	0
183	RP11-46F15.2	0.9944	4.6667	1.3242
184	TPRG1L	28.6237	31.7428	25.164
185	WRAP73	10.1273	11.8228	11.9736
186	TP73	0.8961	4.257	0.3003
187	RP5-1092A11.5	0	0	0
188	RP5-1092A11.2	0	0.347	0
189	TP73-AS1	7.7821	10.5486	10.7517
190	CCDC27	0.0127	0.0175	0.0089
191	SMIM1	1.3276	2.6809	5.4609
192	LRRC47	22.9398	24.2637	27.7584
193	RN7SL574P	0	0.4129	0.5584
194	RP1-286D6.5	9.3186	9.2127	12.6033
195	CEP104	5.9026	5.7127	7.0966
196	DFFB	4.121	3.3611	3.9325
197	AL691523.1	0	0	0
198	C1orf174	9.9369	10.9795	12.7822
199	RP13-15E13.1	0.1594	0.2348	0.076
200	RP13-614K11.1	0.033	0.0284	0
201	RP13-614K11.2	0.0943	0.0217	0
202	RP11-374C13.1	0	0	0
203	RP5-1166F10.1	0	0	0
204	RP1-37J18.1	0	0	0
205	RP1-37J18.2	0	0	0
206	AJAP1	0.1045	0.1669	0.0531
207	RP11-542C10.1	0	0	0
208	RP1-58B11.1	0	0	0
209	MIR4417	0	0	0
210	RP11-154H17.1	0	0	0
211	AL356693.1	0	0	0
212	MIR4689	0	0	0
213	NPHP4	2.5732	2.1861	11.6556
214	AL356261.1	0	0	0
215	KCNAB2	3.5285	1.2398	1.5243
216	CHD5	0.0596	1.252	0.0458
217	RPL22	91.4368	97.252	56.1187
218	RP1-120G22.11	1.0129	0.8592	1.0895
219	RNF207	16.0109	16.4721	9.4518
220	ICMT	10.7294	3.6006	7.6484
221	LINC00337	0	0.0241	0
222	HES3	0	0	0
223	GPR153	4.2499	3.6102	0.1917
224	ACOT7	3.2261	3.1815	1.9299
225	RP1-202O8.3	0.2815	0.7518	0.4428
226	HES2	0.1416	0.5031	0
227	ESPN	0.7759	2.4778	0
228	MIR4252	0	0	0
229	RP1-202O8.2	0.1678	0.0578	0
230	TNFRSF25	6.2252	12.7833	4.4855
231	PLEKHG5	7.0403	7.2868	4.6729
232	NOL9	3.8583	4.1092	3.9672
233	RNU6-731P	0	0	0.9276
234	RP11-58A11.2	0	0.1519	0.0514
235	TAS1R1	0.0204	0.0772	0.2706
236	ZBTB48	17.4454	35.0194	24.7894
237	KLHL21	12.0551	14.2364	11.8426
238	PHF13	10.938	7.5934	7.1548
239	THAP3	4.9736	9.8616	9.2478
240	DNAJC11	9.25	7.6836	7.9484
241	RP11-242F24.1	0	0	0.4288
242	snoU13	0	0	0
243	RP11-312B8.1	0.071	0.538	0.397
244	CAMTA1	2.4777	2.7495	2.4444
245	RP11-312B8.2	0.103	0	0
246	RP11-334N17.1	0	0	0
247	RNU1-8P	0	0	0
248	CAMTA1-IT1	0.0807	0	0.0564
249	RP3-453P22.2	0	0	0
250	RP4-549F15.1	0	0	0
251	RP11-338N10.1	0.0342	0.2477	0
252	RP11-338N10.2	0.1033	0.6766	0.0723
253	RP11-338N10.3	0	1.2164	0.3085
254	VAMP3	43.3773	26.4476	26.196
255	RP3-467L1.6	2.0235	1.7561	2.2007
256	PER3	5.0459	2.509	1.1289
257	RP3-467L1.4	2.626	2.0299	0.645
258	UTS2	0	0.1331	0
259	TNFRSF9	0.0774	0	0
260	RP5-892F13.2	0	0	0
261	PARK7	71.5841	105.3696	95.6041
262	Y_RNA	0	0.1971	0.3998
263	ERRFI1	34.435	17.5103	26.1555
264	RP11-431K24.1	0.0576	0.0993	0.2015
265	CTA-215D11.4	0.0368	0.1269	0
266	RP11-431K24.2	0	0	0
267	RNU1-7P	0	0	0
268	RP11-431K24.3	0	0	0
269	RP11-431K24.4	0	0	0
270	RN7SL729P	0	0	0
271	RNU6-991P	0	0	0
272	SLC45A1	1.401	2.8895	1.1038
273	Y_RNA	0	0.1796	0
274	RERE	35.1465	34.996	36.0134
275	RP5-1115A15.1	0.3357	1.7349	0.5867
276	SNORA77	0	0	0
277	RP5-1115A15.2	0	0.4401	0.0558
278	RP4-633I8.1	0.0448	0	0.0626
279	RP4-633I8.2	0	0.0577	0
280	Y_RNA	0	0	0.208
281	RP4-633I8.3	0	0	0
282	RP4-633I8.4	0	0	0
283	RP11-185B14.1	0	0	0
284	ENO1	176.4865	130.9364	157.908
285	ENO1-IT1	0.1584	0	0.2214
286	ENO1-AS1	0.2584	1.1574	0.6774
287	RNU6-304P	0	0	0
288	HMGN2P17	0	0	0
289	RP3-477M7.5	0	0	0
290	RP3-477M7.6	0	0	0
291	CA6	0	0.0173	0
292	RN7SL451P	0	0	0
293	SLC2A7	0	0	0.0535
294	SLC2A5	1.0173	1.0093	0.1533
295	SCARNA16	0	0	0
296	GPR157	4.2236	2.1127	3.2266
297	MIR34A	0	0.3691	0
298	RP3-510D11.1	1.3437	0.8149	0.6012
299	RP3-510D11.2	2.8706	2.205	1.3589
300	H6PD	19.8188	14.2706	12.1174
301	Z98044.1	0	0	0
302	SPSB1	9.8062	5.1239	5.8272
303	RNA5SP40	0	0	0
304	RP13-392I16.1	0	0	0.1163
305	SLC25A33	1.4597	4.0134	3.0295
306	RP13-15M17.1	0.1581	0.1816	0.4789
307	TMEM201	2.1991	3.3898	3.2276
308	PIK3CD	3.0037	1.2165	1.5227
309	C1orf200	0.0323	0	0.0226
310	RP11-558F24.2	0	0	0
311	RP11-558F24.4	0.5019	1.4916	1.8859
312	CLSTN1	36.6515	19.0113	18.9196
313	RP11-558F24.6	0	0	0
314	CTNNBIP1	11.5769	22.8731	30.6383
315	RP11-84A14.5	6.8076	12.8302	17.9207
316	LZIC	6.2349	5.6717	5.9927
317	RP11-84A14.4	0.1339	0	0.2808
318	NMNAT1	2.8942	2.8973	3.5377
319	RN7SKP269	0	0.5727	0.0646
320	MIR5697	0	0	0
321	RP11-807G9.2	2.8372	3.4917	3.6366
322	RBP7	4.7892	5.7996	11.3363
323	AL590639.1	0	0	0
324	UBE4B	12.4835	8.3976	8.7512
325	RP11-496H15.2	0	0	0
326	PGAM1P11	0.0866	0.2687	0
327	RNU6-828P	0.2753	0	0
328	KIF1B	3.6098	4.1419	5.7652
329	MIR1273D	0	0	0
330	RNU6-37P	0	0.1897	0.5773
331	RN7SL731P	1.1134	1.6044	1.203
332	RN7SL721P	0.0998	0.1376	0.2792
333	PGD	42.0209	28.4423	39.0342
334	RP4-736L20.3	0.1848	0.1019	0
335	CORT	0.4389	0.7394	0.6137
336	DFFA	6.7651	5.677	4.4934
337	RP5-1113E3.3	4.4148	2.7384	2.6015
338	PEX14	17.0406	18.3238	10.0344
339	RN7SL614P	0.3178	0	0
340	CASZ1	11.9685	20.1346	1.6323
341	RP4-734G22.3	6.8364	12.4512	0.9694
342	RP11-340B24.3	0	0	0
343	C1orf127	0.1371	0	0.1475
344	CFL1P6	0.477	0.1644	0.0834
345	AL713997.1	0	0	0
346	Y_RNA	0	0	0
347	TARDBP	48.252	42.2397	55.3912
348	MASP2	2.8266	1.5506	2.5611
349	RP4-635E18.8	14.3204	30.8912	17.4439
350	SRM	15.3164	28.9653	13.9834
351	EXOSC10	22.7368	26.345	20.7997
352	RP4-635E18.7	5.8204	9.7482	5.1595
353	RP4-635E18.6	3.7366	2.2344	2.0361
354	MTOR	6.6324	8.1569	9.7853
355	MTOR-AS1	0.1158	0.133	0.3239
356	RNU6-537P	0	0	0
357	snoU13	0	0	0
358	ANGPTL7	0.1448	2.3854	0.1012
359	RNU6-291P	0	0	0
360	RPL39P6	0	0	0
361	UBIAD1	3.9178	3.9183	3.6467
362	UBE2V2P3	0.0674	0.0464	0
363	RP11-149P14.1	0	0	0
364	PTCHD2	0.0288	1.4301	0.0201
365	RP1-69M21.2	0	0	0
366	FBXO2	12.002	17.288	10.7664
367	FBXO44	19.892	32.6512	28.4151
368	FBXO6	7.7703	10.6968	12.5448
369	MAD2L2	5.4006	8.0741	3.7928
370	DRAXIN	0.0401	0.047	0.0056
371	AGTRAP	13.8006	60.32	17.3841
372	C1orf167	0.0057	0.0429	0
373	RP11-56N19.5	0	0	0
374	MTHFR	2.9079	4.3363	6.8481
375	CLCN6	7.7467	12.0322	11.8455
376	NPPA-AS1	2.869	18.7481	7.2872
377	NPPA	1.0256	8.5906	1.5444
378	NPPB	0	0.0585	0.1187
379	RP5-934G17.6	0	0	0.1093
380	RNU5E-1	0	0	0
381	RNU5E-4P	0	0	0
382	KIAA2013	18.7439	18.5787	29.4913
383	PLOD1	19.3789	28.4283	33.4805
384	MFN2	25.5385	22.4864	48.666
385	RP5-1077B9.5	0	0	0
386	MIIP	7.1832	15.5207	18.0589
387	Y_RNA	0	0	0.9111
388	RN7SL649P	0	0	0
389	TNFRSF8	0.2915	0.152	0.0441
390	RNU6-777P	0	0	0
391	RP11-426M1.2	0	0	0
392	TNFRSF1B	14.0463	3.0399	4.4289
393	MIR4632	0	0	0
394	RP5-1118D24.2	0	0	0
395	SNORA70	0	0	0
396	VPS13D	7.7008	6.9101	11.4562
397	SNORA59A	2.7128	2.4038	3.6578
398	RP5-888M10.2	0.269	0	0.141
399	DHRS3	103.4019	112.6681	93.4599
400	RNU6ATAC18P	2.6246	1.6078	1.631
401	RP11-474O21.5	2.988	3.236	1.3131
402	AADACL4	0.0187	0.0773	0
403	RP11-474O21.2	0	0	0
404	AADACL3	0	0	0
405	snoU13	0	0	0
406	C1orf158	0	0	0
407	PRAMEF12	0	0	0
408	PRAMEF1	0	0	0
409	RP5-845O24.8	0	0	0
410	PRAMEF11	0	0	0
411	RP5-845O24.3	0	0	0
412	HNRNPCL1	0	0	0
413	PRAMEF2	0	0	0
414	PRAMEF4	0	0	0
415	PRAMEF10	0	0	0
416	PRAMEF7	0	0	0
417	RNU6-1072P	0	0	0
418	RP11-450I1.2	0	0	0
419	PRAMEF6	0	0	0
420	RP11-450I1.4	0	0	0
421	PRAMEF22	0	0	0
422	WI2-3308P17.2	0	0	0
423	RP13-221M14.7	0	0	0
424	RP13-221M14.6	0	0	0
425	RP13-221M14.1	0	0	0
426	RP13-221M14.2	0	0	0
427	RP13-221M14.3	0	0	0
428	RP13-221M14.4	0	0	0
429	HNRNPCP5	0	0	0
430	WI2-2994D6.1	0	0	0
431	WI2-2994D6.2	0	0	0
432	PRAMEF3	0	0	0
433	RP11-248D7.2	0	0	0
434	PRAMEF5	0	0	0
435	RP11-219C24.8	0	0	0
436	RNU6-771P	0	0	0
437	PRAMEF8	0	0	0
438	RP11-219C24.6	0	0	0
439	PRAMEF9	0	0	0
440	RP11-219C24.10	0	0	0
441	PRAMEF13	0	0	0
442	PRAMEF18	0	0	0
443	PRAMEF16	0	0	0
444	PRAMEF21	0	0	0
445	XX-FW84067D5.1	0	0	0
446	XX-FW84067D5.2	0	0	0
447	PRAMEF15	0	0	0
448	PRAMEF14	0	0	0.0163
449	PRAMEF19	0	0	0
450	PRAMEF17	0	0	0.0261
451	PRAMEF20	0	0	0
452	LRRC38	0.1333	0	0
453	RP4-597A16.2	0.1235	0	0
454	RP4-597A16.3	0	0	0
455	PDPN	19.8872	3.6085	0.0222
456	RNA5SP41	0	0	0
457	AL359771.1	0	0	0
458	CTA-520D8.2	0.0777	0	0
459	SCARNA11	0	0	0
460	PRDM2	13.0988	5.9535	8.0849
461	RNU6-1265P	0	0	0
462	RP11-344F13.1	0	0	0
463	RP4-704D23.1	0	0	0
464	KAZN	6.2048	2.8407	4.1337
465	TBCAP2	0	0	0
466	TMEM51-AS1	10.179	3.3705	0.834
467	TMEM51	28.7433	6.298	2.4085
468	C1orf195	0	0.0363	0
469	RP1-21O18.3	0	0.1429	0
470	FHAD1	0.6556	1.306	2.1437
471	RP3-467K16.2	1.2047	9.3681	3.5082
472	RP3-467K16.7	0.2026	0.8935	1.4729
473	RP3-467K16.4	0.2218	0.0549	0.3897
474	EFHD2	79.8301	49.0261	66.4211
475	CTRC	0.3211	0.3086	0.3367
476	CELA2A	0.2897	0.2995	0.1013
477	CELA2B	0.0306	0.0422	0.0428
478	CASP9	5.7049	12.2726	9.1107
479	DNAJC16	5.3774	4.3826	6.938
480	SCARNA21	0.2104	0.58	0
481	RP4-680D5.8	0.7661	1.056	1.4878
482	AGMAT	0.6952	0.4959	0.2729
483	RP4-680D5.2	0.2174	0.2212	0.2606
484	CHCHD2P6	2.8051	3.6028	2.7188
485	RNU7-179P	0	0	0
486	RP4-680D5.4	0	0	0
487	DDI2	5.0104	1.3406	1.36
488	RP4-680D5.9	0.1151	0	0
489	PLEKHM2	22.6438	28.9804	29.8187
490	AL121992.1	0	0	0
491	RP11-288I21.1	4.3381	8.4027	8.2687
492	SLC25A34	1.3367	1.9695	4.0152
493	RP11-169K16.4	0.0922	0.413	0.6123
494	TMEM82	0	0	0
495	FBLIM1	18.2241	13.2957	7.3311
496	RP11-169K16.6	0.2404	0.0414	0.084
497	RP11-169K16.7	14.3842	6.4121	2.993
498	RP11-169K16.8	1.1941	0.2743	0.1855
499	RP11-169K16.9	3.393	3.4371	1.8863
500	SPEN	12.941	9.085	15.2619
501	snoU13	0	0	0
502	RP1-134O19.3	0	0	0
503	ZBTB17	8.9958	15.0851	13.3507
504	RP11-5P18.1	0.2093	0	0
505	RP11-5P18.3	0	0	0
506	TBC1D3P6	0	0	0
507	C1orf64	0.2714	0.1469	0.0407
508	RP11-5P18.5	0.5688	0.4356	0.0884
509	HSPB7	2.2003	2.2491	6.8851
510	CLCNKA	0.1695	0.4555	10.4025
511	RP11-5P18.10	0	0	0
512	CLCNKB	0.0508	0.2942	6.3737
513	FAM131C	0.2424	0.0716	0.1937
514	EPHA2	39.6441	7.7749	14.799
515	RP11-276H7.2	2.8997	0.6961	0.4784
516	RP11-276H7.3	1.0828	0.2985	0.6813
517	ARHGEF19	14.0139	10.7533	29.1532
518	ARHGEF19-AS1	3.3546	3.7453	8.5369
519	ANO7P1	0.4736	0.1122	1.6349
520	C1orf134	0.8181	0.4027	0.8988
521	RSG1	3.2789	2.9824	4.2516
522	MT1XP1	0.4751	0.4365	0.4428
523	FBXO42	5.9339	8.4412	5.7324
524	SZRD1	6.9313	4.6733	5.3712
525	RP11-430L17.1	1.0823	2.2376	1.0809
526	SPATA21	0	0	0.0118
527	NECAP2	23.8376	21.7342	18.2947
528	RP4-798A10.2	1.3161	2.1769	1.7451
529	CROCCP3	1.8114	3.4769	3.5967
530	RNU1-1	0	0.1238	0
531	RP4-798A10.7	1.0083	3.2185	1.818
532	RP4-798A10.4	0	0	0.1889
533	U1	0	0.026	0
534	AL355149.2	0	0	0
535	RP5-875O13.6	0	0	0
536	AL355149.1	0	0	0
537	NBPF1	5.8077	5.6398	2.1195
538	RP5-1182A14.5	0	0	0
539	CROCCP2	18.6478	23.6245	13.4812
540	MST1P2	2.8949	7.8595	4.4465
541	RNU1-3	0	0	0
542	AL137798.1	0	0.0398	0
543	AL021920.1	0	0	0
544	EIF1AXP1	13.6772	7.8394	9.4202
545	ESPNP	0.0185	0.0319	0.1685
546	AL021920.2	0	0	0
547	CROCC	8.9671	12.5314	4.5694
548	RNU1-4	0	0	0
549	CROCCP4	0	0.163	0
550	MST1L	0.7621	1.7864	1.47
551	RP11-108M9.1	0	0.0243	0
552	RP11-108M9.2	0	0	0
553	MIR3675	0	0	0
554	U1	0	0.0137	0
555	RP11-108M9.4	9.2187	3.2366	7.2558
556	RP11-108M9.5	6.4937	1.7981	4.9858
557	RNU1-2	0	0	0
558	RP11-108M9.6	0.1345	0.4634	0.094
559	MFAP2	1.6369	2.674	0.664
560	RP1-37C10.3	2.084	2.1384	2.234
561	ATP13A2	10.9492	21.5669	11.2246
562	SDHB	20.0264	11.1716	9.7523
563	PADI2	1.6439	0.9064	0.2058
564	Y_RNA	0	0	0
565	RP11-380J14.1	0.1197	0	0
566	PADI1	0.8031	0.1965	0.0163
567	PADI3	87.1779	1.8841	0
568	MIR3972	1.6927	0	0
569	PADI4	0.1289	0	0.0554
570	AC004824.2	0	0	0
571	PADI6	0	0	0
572	RCC2	31.2951	28.0077	22.0691
573	RP1-20B21.4	16.9523	27.935	17.4137
574	AC004824.1	0	0	0
575	snoU13	0	0	0
576	ARHGEF10L	19.8783	9.2193	8.6991
577	RP11-473A10.2	0	0	0
578	ACTL8	0	0	0
579	RP11-174G17.2	0	0	0
580	IGSF21	0.3656	13.4513	0.0529
581	RP11-174G17	0	0	0
582	RP11-422P22.1	0	0.0413	0
583	KLHDC7A	5.1565	0.0321	1.2995
584	RP1-8B22.1	0	0	0
585	RP1-8B22.2	0	0	0
586	PAX7	0.0093	0	0
587	TAS1R2	0	0	0
588	RP13-279N23.2	0	0	0
589	ALDH4A1	35.7482	67.9066	4.6492
590	MIR4695	0	0	0
591	MIR1290	0	0	0
592	IFFO2	0.6937	0.4582	1.1721
593	RP5-1126H10.2	9.6619	12.1123	8.5527
594	UBR4	20.9477	11.2227	17.1263
595	AL137127.1	1.1781	1.4209	0.4118
596	RP1-43E13.2	3.718	2.8426	3.0461
597	EMC1	4.7874	4.1606	5.5575
598	MRTO4	10.8777	13.9841	8.5702
599	AKR7L	0.2447	0.6233	0.61
600	AKR7A3	0.9646	2.2079	1.9628
601	RP4-657E11.10	1.4025	0.5026	1.3728
602	AKR7A2	25.9933	33.2497	22.8597
603	RNU6-1099P	0	0	0.1924
604	PQLC2	6.36	11.3887	10.2193
605	RN7SL85P	0	0	0
606	CAPZB	59.8896	83.3024	46.4146
607	RN7SL277P	0.103	0	0
608	RNU4-28P	0	0	0
609	snoU13	0	0	0
610	RP5-1056L3.1	0	2.4515	0
611	MINOS1	1.9861	3.32	2.4226
612	RPS14P3	0.971	25.7413	1.8103
613	MINOS1-NBL1	0	0	0
614	NBL1	0.8228	0.3926	0
615	HTR6	0	0.0716	0
616	TMCO4	17.1678	30.6782	12.8305
617	RNF186	0.9433	0.0975	0.033
618	RP11-91K11.2	0.4612	0	0
619	OTUD3	3.926	5.2974	4.4914
620	PLA2G2E	0	0	0
621	RN7SL304P	0	0	0
622	PLA2G2A	2.7958	515.3555	0.2739
623	PLA2G5	0.1356	4.9676	0.2607
624	PLA2G2D	0.1323	0	0
625	PLA2G2F	21.7412	1.1778	0
626	RP3-340N1.2	0.0781	0	0
627	PLA2G2C	0.0179	0	0
628	RP3-340N1.5	0.462	0.199	1.9381
629	UBXN10	2.1465	0.1822	2.5615
630	RP3-340N1.6	0	0	0
631	VWA5B1	2.0553	0.0064	0
632	RP4-745E8.2	0.1286	0	0
633	RP4-749H3.1	0	0	0
634	RP4-749H3.2	0	0	0
635	CAMK2N1	33.9474	10.6111	5.9216
636	MUL1	17.6768	15.3739	15.7397
637	RPS4XP4	0	0	0
638	FAM43B	0	0.1337	0.0798
639	CDA	3.4255	1.8971	9.6865
640	PINK1	22.2484	18.7959	33.9024
641	DDOST	74.856	48.8411	63.2771
642	KIF17	0.4876	0.2997	0.8983
643	RP5-930J4.5	0	0	0
644	SH2D5	0.0333	0.101	0.5494
645	RP5-930J4.2	0	0	0.1377
646	HP1BP3	51.0625	33.7973	43.4803
647	RP5-930J4.4	59.885	65.1187	59.7235
648	EIF4G3	14.5698	8.9816	20.2664
649	RNU7-200P	0	0	0
650	MIR1256	0	0	0
651	RP11-487E1.1	0	0	0.0535
652	RP11-487E1.2	0	0	0
653	RP11-628K18.1	0	0	0.2087
654	AL031005.1	0	0	0
655	ECE1	36.7586	57.7538	57.1203
656	RP3-329E20.2	0.0407	0	0.0285
657	RP5-1071N3.1	0.1188	0.3603	0.3073
658	PPP1R11P1	0	0	0
